Word1,Word2,Similarity,Model
lizard,cat,0.7511122226715088,word2vec
lizard,cat,0.537146806716919,speech2vec
lizard,hawk,0.6511026620864868,word2vec
lizard,hawk,0.5839223861694336,speech2vec
lizard,dog,0.7184138298034668,word2vec
lizard,dog,0.567660927772522,speech2vec
lizard,turtle,0.5411568284034729,word2vec
lizard,turtle,0.4188099503517151,speech2vec
lizard,jellyfish,0.5132167339324951,word2vec
lizard,jellyfish,0.4412284195423126,speech2vec
lizard,bear,0.40373265743255615,word2vec
lizard,bear,0.4196978211402893,speech2vec
lizard,ant,0.5851773619651794,word2vec
lizard,ant,0.5210273861885071,speech2vec
lizard,mosquito,0.6466343402862549,word2vec
lizard,mosquito,0.5510087609291077,speech2vec
lizard,frog,0.6911097168922424,word2vec
lizard,frog,0.5197563767433167,speech2vec
lizard,tadpole,0.0,word2vec
lizard,tadpole,0.5485020875930786,speech2vec
lizard,fish,0.5403761267662048,word2vec
lizard,fish,0.41976240277290344,speech2vec
lizard,shark,0.5320589542388916,word2vec
lizard,shark,0.5450217127799988,speech2vec
lizard,dolphin,0.4261523485183716,word2vec
lizard,dolphin,0.5194275975227356,speech2vec
lizard,gorilla,0.5091343522071838,word2vec
lizard,gorilla,0.44836896657943726,speech2vec
lizard,monkey,0.7390968799591064,word2vec
lizard,monkey,0.5820920467376709,speech2vec
lizard,fly,0.5996960401535034,word2vec
lizard,fly,0.5192933082580566,speech2vec
lizard,eagle,0.6423823237419128,word2vec
lizard,eagle,0.5226044058799744,speech2vec
lizard,toad,0.7164338827133179,word2vec
lizard,toad,0.6787763833999634,speech2vec
lizard,rat,0.6654841899871826,word2vec
lizard,rat,0.7046759128570557,speech2vec
lizard,mouse,0.7364721298217773,word2vec
lizard,mouse,0.5838298201560974,speech2vec
lizard,gerbil,0.0,word2vec
lizard,gerbil,0.0,speech2vec
lizard,groundhog,0.0,word2vec
lizard,groundhog,0.0,speech2vec
lizard,fox,0.7166844606399536,word2vec
lizard,fox,0.572681188583374,speech2vec
lizard,raccoon,0.0,word2vec
lizard,raccoon,0.0,speech2vec
lizard,deer,0.6747044324874878,word2vec
lizard,deer,0.49016261100769043,speech2vec
lizard,squirrel,0.7400809526443481,word2vec
lizard,squirrel,0.5260194540023804,speech2vec
lizard,rabbit,0.7617427110671997,word2vec
lizard,rabbit,0.6500829458236694,speech2vec
lizard,bluejay,0.0,word2vec
lizard,bluejay,0.0,speech2vec
lizard,peacock,0.5266835689544678,word2vec
lizard,peacock,0.3624117970466614,speech2vec
lizard,giraffe,0.0,word2vec
lizard,giraffe,0.0,speech2vec
lizard,elephant,0.642977774143219,word2vec
lizard,elephant,0.5400369763374329,speech2vec
lizard,zebra,0.0,word2vec
lizard,zebra,0.5932592153549194,speech2vec
lizard,horse,0.5040950179100037,word2vec
lizard,horse,0.5772104263305664,speech2vec
lizard,iguana,0.0,word2vec
lizard,iguana,0.0,speech2vec
lizard,penguin,0.39504891633987427,word2vec
lizard,penguin,0.3616348206996918,speech2vec
lizard,buffalo,0.4802185893058777,word2vec
lizard,buffalo,0.46871912479400635,speech2vec
lizard,kangaroo,0.7080243825912476,word2vec
lizard,kangaroo,0.5671009421348572,speech2vec
lizard,goose,0.6530908346176147,word2vec
lizard,goose,0.4732131361961365,speech2vec
lizard,duck,0.657706618309021,word2vec
lizard,duck,0.5592799782752991,speech2vec
lizard,swan,0.43096232414245605,word2vec
lizard,swan,0.3818575441837311,speech2vec
lizard,chimp,0.0,word2vec
lizard,chimp,0.0,speech2vec
lizard,lion,0.6422172784805298,word2vec
lizard,lion,0.505975067615509,speech2vec
lizard,tiger,0.7709793448448181,word2vec
lizard,tiger,0.518974781036377,speech2vec
lizard,wombat,0.0,word2vec
lizard,wombat,0.0,speech2vec
lizard,goat,0.650865912437439,word2vec
lizard,goat,0.4912598729133606,speech2vec
lizard,platypus,0.0,word2vec
lizard,platypus,0.0,speech2vec
lizard,firefly,0.4949008524417877,word2vec
lizard,firefly,0.5434157252311707,speech2vec
lizard,bird,0.6966628432273865,word2vec
lizard,bird,0.5150362253189087,speech2vec
lizard,moose,0.6077104806900024,word2vec
lizard,moose,0.5814894437789917,speech2vec
lizard,crow,0.6345816254615784,word2vec
lizard,crow,0.5330013036727905,speech2vec
lizard,caterpillar,0.5182820558547974,word2vec
lizard,caterpillar,0.3902154564857483,speech2vec
lizard,butterfly,0.5361747741699219,word2vec
lizard,butterfly,0.44330543279647827,speech2vec
lizard,moth,0.5867218375205994,word2vec
lizard,moth,0.4536884129047394,speech2vec
lizard,hamster,0.0,word2vec
lizard,hamster,0.0,speech2vec
lizard,sheep,0.5834242701530457,word2vec
lizard,sheep,0.41069296002388,speech2vec
lizard,pig,0.6862658858299255,word2vec
lizard,pig,0.5568721294403076,speech2vec
lizard,pony,0.5027620792388916,word2vec
lizard,pony,0.5592514276504517,speech2vec
lizard,lamb,0.49844709038734436,word2vec
lizard,lamb,0.35778433084487915,speech2vec
lizard,chicken,0.5050173401832581,word2vec
lizard,chicken,0.4146914482116699,speech2vec
lizard,rooster,0.6217437982559204,word2vec
lizard,rooster,0.560998797416687,speech2vec
lizard,hippo,0.0,word2vec
lizard,hippo,0.0,speech2vec
lizard,bat,0.5302547216415405,word2vec
lizard,bat,0.4838942587375641,speech2vec
lizard,snake,0.8069865703582764,word2vec
lizard,snake,0.6989080905914307,speech2vec
lizard,whale,0.5465570688247681,word2vec
lizard,whale,0.4441072344779968,speech2vec
lizard,cow,0.5023159980773926,word2vec
lizard,cow,0.4263309836387634,speech2vec
lizard,flamingo,0.0,word2vec
lizard,flamingo,0.0,speech2vec
lizard,alligator,0.7154936790466309,word2vec
lizard,alligator,0.7268456220626831,speech2vec
lizard,octopus,0.0,word2vec
lizard,octopus,0.0,speech2vec
lizard,ostrich,0.6036744713783264,word2vec
lizard,ostrich,0.3429769277572632,speech2vec
lizard,hyena,0.7074893712997437,word2vec
lizard,hyena,0.6291870474815369,speech2vec
lizard,guinea,0.56876540184021,word2vec
lizard,guinea,0.43154656887054443,speech2vec
lizard,crocodile,0.7010682821273804,word2vec
lizard,crocodile,0.6053089499473572,speech2vec
lizard,cheetah,0.0,word2vec
lizard,cheetah,0.0,speech2vec
lizard,parakeet,0.6244765520095825,word2vec
lizard,parakeet,0.6636286377906799,speech2vec
lizard,capybara,0.0,word2vec
lizard,capybara,0.0,speech2vec
lizard,emu,0.0,word2vec
lizard,emu,0.0,speech2vec
lizard,elk,0.5978739261627197,word2vec
lizard,elk,0.5999964475631714,speech2vec
lizard,antelope,0.6618425846099854,word2vec
lizard,antelope,0.514808714389801,speech2vec
lizard,shrimp,0.0,word2vec
lizard,shrimp,0.4110200107097626,speech2vec
lizard,crab,0.6992044448852539,word2vec
lizard,crab,0.5944237112998962,speech2vec
lizard,lobster,0.5480978488922119,word2vec
lizard,lobster,0.4223456382751465,speech2vec
lizard,falcon,0.6282890439033508,word2vec
lizard,falcon,0.6517807841300964,speech2vec
lizard,raven,0.6509910821914673,word2vec
lizard,raven,0.5541446208953857,speech2vec
lizard,gecko,0.0,word2vec
lizard,gecko,0.0,speech2vec
lizard,mammoth,0.5708613395690918,word2vec
lizard,mammoth,0.49710744619369507,speech2vec
lizard,stingray,0.0,word2vec
lizard,stingray,0.0,speech2vec
lizard,angelfish,0.0,word2vec
lizard,angelfish,0.0,speech2vec
lizard,clownfish,0.0,word2vec
lizard,clownfish,0.0,speech2vec
lizard,seahorse,0.0,word2vec
lizard,seahorse,0.0,speech2vec
lizard,seadragon,0.0,word2vec
lizard,seadragon,0.0,speech2vec
lizard,polar,0.37066954374313354,word2vec
lizard,polar,0.2741087079048157,speech2vec
lizard,sealion,0.0,word2vec
lizard,sealion,0.0,speech2vec
